,index,MLS,address,Property_info,area_sqft,bed_num,bath_num,asking_price,price_change,listing_entered,seller_info
14,14, R2835915,19762 75B AVENUE,House,2719,5,4,1714285,,2023-12-06 00:00:00,Sutton Premier Realty
15,15, R2835897,20150 27A AVENUE,House,5880,9,9,2749000,,2023-12-06 00:00:00,Planet Group Realty Inc.
16,16, R2836381,# 47 9235 MCBRIDE STREET,Townhouse,3291,4,4,1775000,,2023-12-06 00:00:00,Macdonald Realty (Langley)
17,17, R2836569,20432 83B AVENUE,House,3534,5,4,1988850,,2023-12-06 00:00:00,Royal LePage West Real Estate Services
18,18, R2836591,1750 196 STREET,House,1795,3,2,2068300,,2023-12-06 00:00:00,Keller Williams Elite Realty
19,19, R2836618,# 3 7635 198B STREET,Townhouse,1787,4,4,1099000,,2023-12-06 00:00:00,Team 3000 Realty Ltd.
20,0, R2835203,# 19 7686 209 STREET,Townhouse,1900,4,4,1039900,2023-11-28 00:00:00,2023-12-06 00:00:00,Dracco Pacific Realty
21,1, R2835248,7267 199A STREET,House,2428,5,4,1459000,2023-11-28 00:00:00,2023-12-05 00:00:00,Nu Stream Realty Inc.
22,2, R2836290,5858 242 STREET,House,2401,5,3,2350000,,2023-12-05 00:00:00,eXp Realty (Branch)
23,3, R2836249,3126 271 STREET,House,1000,3,2,1385000,,2023-12-05 00:00:00,Nationwide Realty Corp.
24,4, R2836000,3278 264A STREET,House,1944,3,3,1199900,,2023-12-05 00:00:00,Century 21 Creekside Realty (Luckakuck)
25,5, R2811452,6531 WILLOUGHBY WAY,House,2079,6,3,1499000,2023-09-05 00:00:00,2023-12-05 00:00:00,eXp Realty (Branch)
26,6, R2822447,24872 59 AVENUE,House,3378,4,3,2299000,2023-10-10 00:00:00,2023-12-04 00:00:00,Royal LePage - Wolstencroft
27,7, R2835984,20431 42A AVENUE,House,2740,5,3,1525000,,2023-12-04 00:00:00,RE/MAX Treeland Realty
28,8, R2829640,20121 48 AVENUE,House,2540,4,4,1399900,2023-11-01 00:00:00,2023-12-04 00:00:00,Century 21 Creekside Realty (Luckakuck)
29,9, R2833917,21268 93A AVENUE,House,1942,3,3,1299000,2023-11-21 00:00:00,2023-12-01 00:00:00,Rennie & Associates Realty Ltd.
30,10, R2816188,20565 46B AVENUE,House,4807,5,6,2624000,2023-09-15 00:00:00,2023-12-01 00:00:00,Royal Lepage Wheeler Cheam
31,11, R2835856,20432 78A AVENUE,House,2767,5,4,1698880,,2023-12-01 00:00:00,Royal LePage Little Oak Realty
32,12, R2835786,# 33 20155 84TH AVENUE,Townhouse,2214,4,4,1185900,,2023-12-01 00:00:00,Homelife Benchmark Titus Realty
33,13, R2835737,3538 198A STREET,House,2520,4,3,1850000,,2023-12-01 00:00:00,RE/MAX Treeland Realty
34,14, R2835735,21219 95A AVENUE,House,2654,4,3,1325000,,2023-12-01 00:00:00,Homeland Realty
35,15, R2835692,20543 70A AVENUE,House,4886,8,7,2299000,,2023-12-01 00:00:00,eXp Realty
36,16, R2835597,19658 76A AVENUE,House,2793,5,4,1698000,,2023-12-01 00:00:00,Breakside Real Estate Group
37,17, R2835548,9105 CRICKMER COURT,House,2722,3,3,1900000,,2023-12-01 00:00:00,Lighthouse Realty Ltd.
38,18, R2835639,19635 75 AVENUE,House,2697,4,4,1499000,,2023-11-30 00:00:00,Sutton Group-West Coast Realty
39,19, R2835634,193 208 STREET,HousewithAcreage,4403,5,3,2749000,,2023-11-30 00:00:00,Royal LePage - Wolstencroft
40,0, R2835468,20081 46A AVENUE,House,2116,5,3,1350000,,2023-11-30 00:00:00,Royal LePage Fairstone Realty.
41,1, R2835431,3352 273B STREET,House,2504,6,3,1300000,,2023-11-30 00:00:00,eXp Realty (Branch)
42,2, R2834539,19671 75 AVENUE,House,2697,5,4,1620000,,2023-11-30 00:00:00,Sutton Premier Realty
43,3, R2824070,27328 26B AVENUE,House,1734,4,3,1095000,2023-10-12 00:00:00,2023-11-30 00:00:00,Royal LePage - Wolstencroft
44,4, R2824274,21010 72 AVENUE,House,4115,9,7,1999800,2023-10-12 00:00:00,2023-11-29 00:00:00,Homelife Benchmark Realty Corp.
45,5, R2835410,21131 80 AVENUE,FreeholdNonStrata,2261,3,4,1198000,,2023-11-29 00:00:00,Stilhavn Real Estate Services
46,6, R2835449,4013 204A STREET,House,2813,4,4,2100000,,2023-11-29 00:00:00,Royal LePage Northstar Realty (S. Surrey)Macdonald Realty (Langley)
47,7, R2828867,24191 65 AVENUE,HousewithAcreage,2936,4,3,2348000,2023-10-31 00:00:00,2023-11-29 00:00:00,Homelife Benchmark Realty (Langley) Corp.
48,8, R2835365,21553 46B AVENUE,House,2908,5,3,1679900,,2023-11-29 00:00:00,RE/MAX Treeland Realty
49,9, R2835071,4641 198C STREET,House,1930,4,2,1285000,,2023-11-29 00:00:00,Royal LePage - Wolstencroft
50,10, R2835139,21037 77 AVENUE,House,2560,5,4,1449898,,2023-11-28 00:00:00,Woodhouse Realty
51,11, R2834930,7003 201A STREET,House,2592,5,4,1425000,,2023-11-28 00:00:00,Royal LePage - Wolstencroft
52,12, R2834869,# 105 20498 82 AVENUE,Townhouse,2286,3,4,1098800,,2023-11-28 00:00:00,Royal LePage - Wolstencroft
53,13, R2814527,20277 36 AVENUE,House,2357,5,2,1490900,2023-09-14 00:00:00,2023-11-28 00:00:00,Keller Williams Ocean Realty
54,14, R2828912,20291 GRADE CRESCENT,House,2132,4,3,1299000,2023-10-31 00:00:00,2023-11-28 00:00:00,SRS Panorama Realty
55,15, R2818417,23048 64 AVENUE,HousewithAcreage,1935,3,3,2949999,2023-09-22 00:00:00,2023-11-28 00:00:00,RE/MAX Treeland Realty
56,16, R2834752,9550 212B STREET,House,2529,5,3,1328000,,2023-11-27 00:00:00,Century 21 Creekside Realty (Luckakuck)
57,17, R2834743,19661 74 AVENUE,OtherSuite,2485,5,5,1329888,,2023-11-27 00:00:00,Century 21 AAA Realty Inc.
58,18, R2834738,# 9 24455 61 AVENUE,House,5310,5,5,2695000,,2023-11-27 00:00:00,Oakwyn Realty Ltd.
59,19, R2834609,19684 42 AVENUE,House,2389,4,3,1599000,,2023-11-27 00:00:00,RE/MAX Colonial Pacific Realty
60,0, R2834592,3268 198 STREET,House,5251,6,6,2680000,,2023-11-27 00:00:00,RE/MAX 2000 Realty
61,1, R2834568,6825 205 STREET,House,4528,7,7,2250000,,2023-11-27 00:00:00,Sutton Group-West Coast Realty (Abbotsford)
62,2, R2834564,26688 33 AVENUE,House,2252,6,3,1349000,,2023-11-24 00:00:00,RE/MAX City Realty
63,3, R2834508,5414 240TH STREET,HousewithAcreage,1949,4,4,1899900,,2023-11-24 00:00:00,Stonehaus Realty Corp.
64,4, R2830874,4657 208A STREET,House,2769,4,3,1399998,2023-11-07 00:00:00,2023-11-24 00:00:00,Keller Williams Realty VanCentral
65,5, R2824119,3811 202 STREET,House,3467,6,4,1925000,2023-10-13 00:00:00,2023-11-24 00:00:00,Oakwyn Realty Ltd. (Branch)
66,6, R2832439,21572 47A AVENUE,House,3687,7,4,1598000,2023-11-16 00:00:00,2023-11-24 00:00:00,RE/MAX Treeland Realty
67,7, R2828649,3357 270A STREET,House,1807,4,2,1098000,2023-10-30 00:00:00,2023-11-24 00:00:00,Royal LePage - Wolstencroft
68,8, R2828267,5697 248 STREET,House,2304,4,3,1649999,2023-10-31 00:00:00,2023-11-23 00:00:00,Royal LePage - Wolstencroft
69,9, R2828842,19636 41A AVENUE,House,2453,4,3,1495000,2023-10-30 00:00:00,2023-11-23 00:00:00,Park Georgia Realty Ltd.Royal LePage Global Force RealtyRoyal LePage Global Force Realty
70,10, R2828469,20330 40A AVENUE,House,1050,3,1,1338000,2023-10-30 00:00:00,2023-11-23 00:00:00,Century 21 AAA Realty Inc.
71,11, R2831608,26496 30A AVENUE,House,1900,3,3,1049900,2023-11-10 00:00:00,2023-11-23 00:00:00,RE/MAX Aldercenter Realty
72,12, R2834447,9454 KANAKA STREET,House,3197,5,4,1799500,,2023-11-23 00:00:00,Macdonald Realty (Langley)
73,13, R2834415,4531 199 STREET,House,1655,3,2,1385000,,2023-11-23 00:00:00,eXp Realty (Branch)
74,14, R2834379,6823 206 STREET,House,4762,6,6,1699800,,2023-11-23 00:00:00,Royal LePage - Wolstencroft
75,15, R2834378,5072 223B STREET,House,3337,4,3,1525000,,2023-11-23 00:00:00,RE/MAX Colonial Pacific Realty
76,16, R2834374,19679 68A AVENUE,House,3770,6,5,1749900,,2023-11-23 00:00:00,RE/MAX Treeland Realty
77,17, R2826587,21627 93 AVENUE,House,4477,6,4,1858900,2023-10-24 00:00:00,2023-11-23 00:00:00,Homelife Benchmark Realty (Langley) Corp.
78,18, R2830877,20950 95A AVENUE,House,1943,3,3,1299000,2023-11-14 00:00:00,2023-11-22 00:00:00,Royal LePage Little Oak Realty
79,19, R2777095,6471 267 STREET,HousewithAcreage,1837,3,4,2400000,2023-05-16 00:00:00,2023-11-22 00:00:00,Coldwell Banker Marquise Realty
80,0, R2829364,6873 198B STREET,House,3335,6,4,1649000,2023-11-01 00:00:00,2023-11-22 00:00:00,RE/MAX Crest Realty
81,1, R2834260,19920 72 AVENUE,House,2965,5,4,1349900,,2023-11-22 00:00:00,Engel & Volkers Vancouver
82,2, R2834226,21006 92 AVENUE,House,1925,3,3,1299000,,2023-11-22 00:00:00,RE/MAX Treeland Realty
83,3, R2834150,3349 273 STREET,House,3897,6,4,1599900,,2023-11-22 00:00:00,RE/MAX Treeland Realty
84,4, R2834144,27015 25 AVENUE,House,1815,3,2,1339000,,2023-11-22 00:00:00,RE/MAX Aldercenter Realty
85,5, R2833721,# 13 7059 210 STREET,Townhouse,3116,3,4,1469000,,2023-11-22 00:00:00,Royal LePage - Wolstencroft
86,6, R2823050,21067 78A AVENUE,House,3038,5,4,1698000,2023-10-10 00:00:00,2023-11-21 00:00:00,Regent Park Realty Inc.
87,7, R2833856,2421 WAYBURNE CRESCENT,House,2466,5,3,1250000,,2023-11-21 00:00:00,1NE Collective Realty Inc.
88,8, R2834005,20545 77A AVENUE,House,3469,4,4,1979900,,2023-11-21 00:00:00,Laboutique Realty
89,9, R2833980,19628 68 AVENUE,House,3217,5,4,1499800,,2023-11-21 00:00:00,Real Broker
90,10, R2833943,19718 33 AVENUE,House,5761,9,8,2875000,,2023-11-21 00:00:00,Saba Realty Ltd.
91,11, R2833900,27021 24 AVENUE,House,4966,4,5,1599900,,2023-11-21 00:00:00,Homelife Advantage Realty (Central Valley) Ltd.
92,12, R2833871,21040 95A AVENUE,House,2008,4,3,1399999,,2023-11-21 00:00:00,RE/MAX Treeland Realty
93,13, R2833673,# 56 19932 70 AVENUE,Townhouse,2100,3,4,1025000,,2023-11-20 00:00:00,Oakwyn Realty Ltd.
94,14, R2833489,# 20 20680 76B AVENUE,House,2468,4,4,1329900,,2023-11-20 00:00:00,Fifth Avenue Real Estate Marketing Ltd.
95,15, R2833274,2537 WILDING CRESCENT,House,1886,4,3,1199900,,2023-11-20 00:00:00,Emily Oh Realty
96,16, R2833504,20424 90A AVENUE,House,4059,4,4,1750000,,2023-11-20 00:00:00,Stonehaus Realty Corp.
97,17, R2833514,26440 29 AVENUE,House,1693,3,2,1299999,,2023-11-20 00:00:00,Jovi Realty Inc.
98,18, R2833536,27591 40TH AVENUE,HousewithAcreage,5275,5,4,1999000,,2023-11-20 00:00:00,The Agency VancouverBrendan Shaw Real Estate Ltd. (AOIR)
99,19, R2826403,21657 50B AVENUE,House,3407,5,6,1599000,2023-10-20 00:00:00,2023-11-20 00:00:00,Royal LePage - Wolstencroft
100,0, R2825852,# 33 21867 50 AVENUE,Townhouse,2149,4,4,1048000,2023-10-18 00:00:00,2023-11-20 00:00:00,RE/MAX Treeland Realty
101,1, R2825284,# 9 7967 197 STREET,Townhouse,1500,3,3,1000000,2023-10-17 00:00:00,2023-11-20 00:00:00,eXp Realty (Branch)
102,2, R2799210,19916 38A AVENUE,House,975,2,1,1549000,2023-07-18 00:00:00,2023-11-20 00:00:00,SRS Hall of Fame Realty
103,3, R2819910,20569 71 AVENUE,House,5003,6,6,2599900,2023-09-27 00:00:00,2023-11-20 00:00:00,Stonehaus Realty Corp.
104,4, R2833282,19984 53 AVENUE,House,1122,3,1,1275000,,2023-11-17 00:00:00,RE/MAX 2000 Realty
105,5, R2833236,5014 201 STREET,House,2087,5,3,1399000,,2023-11-17 00:00:00,HomeLife Advantage Realty Ltd
106,6, R2833228,4814 201 STREET,House,4527,7,4,2490000,,2023-11-17 00:00:00,Stonehaus Realty Corp.
107,7, R2833146,2781 272 STREET,House,3569,6,4,1349888,,2023-11-17 00:00:00,Sutton Group-Alliance R.E.S.
108,8, R2832881,20070 27A AVENUE,House,4806,8,6,2599900,,2023-11-17 00:00:00,Real Broker B.C. Ltd.
109,9, R2833026,20165 27 AVENUE,House,5383,9,8,2549999,,2023-11-17 00:00:00,RE/MAX Blueprint Realty
110,10, R2833019,19707 31A AVENUE,House,6175,8,9,2788000,,2023-11-17 00:00:00,Royal LePage Global Force Realty
111,11, R2829318,26562 60 AVENUE,HousewithAcreage,1694,4,2,2249000,2023-11-01 00:00:00,2023-11-17 00:00:00,Lighthouse Realty Ltd.
112,12, R2828579,22941 78 AVENUE,House,1604,3,2,1988000,2023-10-30 00:00:00,2023-11-17 00:00:00,Royal LePage Regency Realty
113,13, R2829733,# 1 23809 OLD YALE ROAD,House,4590,6,5,1939000,2023-11-02 00:00:00,2023-11-16 00:00:00,Sutton Group-West Coast Realty (Abbotsford)
114,14, R2827040,# 13 19749 55 AVENUE,Townhouse,1758,4,4,1029000,2023-10-23 00:00:00,2023-11-16 00:00:00,Stonehaus Realty Corp.
115,15, R2829734,# 2 23809 OLD YALE ROAD,House,4376,6,5,2029000,2023-11-02 00:00:00,2023-11-16 00:00:00,Sutton Group-West Coast Realty (Abbotsford)
116,16, R2832522,5086 204 STREET,House,3566,4,3,1490000,,2023-11-16 00:00:00,Royal LePage - Wolstencroft
117,17, R2833075,19644 76B AVENUE,House,2803,5,4,1698000,,2023-11-16 00:00:00,Breakside Real Estate Group
118,18, R2832988,26770 30 AVENUE,House,2000,3,3,1318000,,2023-11-16 00:00:00,Royal LePage West Real Estate Services
119,19, R2832925,# 44 20189 84 AVENUE,Townhouse,1613,3,3,1099999,,2023-11-16 00:00:00,RE/MAX LIFESTYLES REALTY
120,0, R2832877,20062 27A AVENUE,House,4806,8,6,2599900,,2023-11-16 00:00:00,Real Broker B.C. Ltd.
121,1, R2832303,4461 203 STREET,House,1414,3,1,1380000,,2023-11-15 00:00:00,Royal LePage - Wolstencroft
122,2, R2832816,20517 76 AVENUE,OtherSuite,2287,4,4,1559900,,2023-11-15 00:00:00,Royal LePage Northstar Realty (S. Surrey)
123,3, R2832801,20512 76A AVENUE,OtherSuite,2855,3,4,1574900,,2023-11-15 00:00:00,Royal LePage Northstar Realty (S. Surrey)
124,4, R2832761,20605 48 AVENUE,House,1996,4,2,1149999,,2023-11-15 00:00:00,HouseSigma Inc.
125,5, R2832745,# 202 9190 CHURCH STREET,Apartment,1456,2,3,1300000,,2023-11-15 00:00:00,RE/MAX Treeland Realty
126,6, R2832560,8516 205B STREET,House,3764,6,5,2225000,,2023-11-15 00:00:00,Top Vision Realty Inc.
127,7, R2820029,20428 97A AVENUE,House,2904,4,3,1588800,2023-09-28 00:00:00,2023-11-15 00:00:00,eXp Realty (Branch)
128,8, R2804047,19877 48 AVENUE,House,1826,5,3,1349900,2023-08-11 00:00:00,2023-11-15 00:00:00,Performance Power Play Realty
129,9, R2832265,# 507 8526 202B STREET,Apartment,1333,3,2,1113000,,2023-11-14 00:00:00,RE/MAX Crest Realty
130,10, R2831954,20519 76 AVENUE,NewlyBuilt,2287,4,4,1398900,,2023-11-14 00:00:00,Royal LePage Northstar Realty (S. Surrey)
131,11, R2832291,# 1 23165 OLD YALE ROAD,House,2739,3,5,1999900,,2023-11-14 00:00:00,RE/MAX Treeland Realty
132,12, R2832080,# 103 7947 209 STREET,Townhouse,1916,4,4,1155000,,2023-11-14 00:00:00,RE/MAX Select Realty
133,13, R2760490,20520 76A AVENUE,OtherSuite,2855,4,4,1489900,2023-03-17 00:00:00,2023-11-14 00:00:00,Royal LePage Northstar Realty (S. Surrey)
134,14, R2829565,19683 76A AVENUE,House,2793,5,4,1639900,2023-11-02 00:00:00,2023-11-14 00:00:00,Woodhouse Realty
135,15, R2822828,# 28 20326 68 AVENUE,Townhouse,2173,4,4,1099900,2023-10-10 00:00:00,2023-11-13 00:00:00,Team 3000 Realty Ltd.
136,16, R2823012,5341 236 STREET,HousewithAcreage,4001,5,4,1899999,2023-10-10 00:00:00,2023-11-10 00:00:00,RE/MAX Treeland Realty
137,17, R2825165,4467 202 STREET,House,2041,3,3,1339000,2023-10-17 00:00:00,2023-11-10 00:00:00,Stonehaus Realty Corp.
138,18, R2826832,7051 196B STREET,House,3681,6,4,1749000,2023-10-23 00:00:00,2023-11-10 00:00:00,eXp Realty
139,19, R2831904,7279 199 STREET,House,3683,6,5,1799900,,2023-11-10 00:00:00,Pacific Evergreen Realty Ltd.
140,0, R2831854,4870 214A STREET,House,2648,5,3,1899500,,2023-11-10 00:00:00,Momentum Realty Inc.
141,1, R2831780,975 254 STREET,HousewithAcreage,3980,3,2,2175000,,2023-11-10 00:00:00,Homelife Benchmark Realty (Langley) Corp.
142,2, R2831779,19707 32A AVENUE,House,5656,8,7,2399999,,2023-11-10 00:00:00,City 2 City Real Estate Services Inc.
143,3, R2831760,23760 68 AVENUE,ManufacturedwithLand,1940,4,3,1988888,,2023-11-10 00:00:00,Planet Group Realty Inc.
144,4, R2831494,23124 96 AVENUE,House,902,2,1,2100000,,2023-11-10 00:00:00,RE/MAX Treeland Realty
145,5, R2831398,3217 197A STREET,House,5452,8,9,2299999,,2023-11-10 00:00:00,RE/MAX Dream Home Realty
146,6, R2831072,20585 46 AVENUE,House,2705,4,3,1549000,,2023-11-09 00:00:00,Royal LePage - Wolstencroft
147,7, R2831257,20485 97A AVENUE,House,2552,4,3,1598800,,2023-11-09 00:00:00,Royal LePage - Wolstencroft
148,8, R2831322,2262 WILLOUGHBY WAY,House,2750,6,3,1349999,,2023-11-09 00:00:00,Royal LePage West Real Estate Services
149,9, R2831395,7081 196A STREET,House,3725,6,5,1599000,,2023-11-09 00:00:00,eXp Realty (Branch)
150,10, R2831529,3916 240 STREET,HousewithAcreage,1260,3,3,2900000,,2023-11-09 00:00:00,Royal LePage - Wolstencroft
151,11, R2831598,# 80 7670 207 STREET,Townhouse,2137,4,4,1099900,,2023-11-09 00:00:00,Fifth Avenue Real Estate Marketing Ltd.
152,12, R2825740,5031 208A STREET,House,3293,6,3,1599000,2023-10-18 00:00:00,2023-11-09 00:00:00,Homelife Benchmark Realty (Langley) Corp.
153,13, R2825589,20547 98 AVENUE,House,2259,3,3,1598000,2023-10-17 00:00:00,2023-11-09 00:00:00,Luxmore Realty
154,14, R2817400,2954 267A STREET,House,2000,3,1,1049000,2023-09-20 00:00:00,2023-11-09 00:00:00,RE/MAX Aldercenter Realty
155,15, R2831326,26943 26 AVENUE,House,2590,5,3,1499900,,2023-11-08 00:00:00,Performance Power Play Realty
156,16, R2831161,27516 28 AVENUE,House,2157,3,3,1250000,,2023-11-08 00:00:00,Lighthouse Realty Ltd.
157,17, R2831432,# 78 7670 207 STREET,Townhouse,2080,3,4,1099900,,2023-11-08 00:00:00,Fifth Avenue Real Estate Marketing Ltd.
158,18, R2831033,6109 256 STREET,HousewithAcreage,4227,4,3,2499900,,2023-11-08 00:00:00,Royal LePage - Wolstencroft
159,19, R2830880,# 19 9025 216 STREET,Townhouse,1976,3,3,1075000,,2023-11-07 00:00:00,Royal LePage - Wolstencroft
160,0, R2830744,22152 96 AVENUE,HousewithAcreage,3826,4,5,2899000,,2023-11-07 00:00:00,RE/MAX Treeland Realty
161,1, R2830724,21886 64 AVENUE,House,1857,3,2,1649800,,2023-11-07 00:00:00,Royal LePage - Wolstencroft
162,2, R2830747,2459 WAYBURNE CRESCENT,House,1613,3,3,1048000,,2023-11-06 00:00:00,Sutton Group - 1st West Realty
163,3, R2830503,21956 45 AVENUE,House,4041,6,6,2695000,,2023-11-06 00:00:00,Royal LePage Global Force Realty
164,4, R2830359,7821 197 STREET,House,3545,7,6,1799999,,2023-11-06 00:00:00,Team 3000 Realty Ltd.
165,5, R2830301,7696 211A STREET,House,4019,6,6,1795800,,2023-11-06 00:00:00,Homelife Benchmark Realty (Langley) Corp.
166,6, R2830294,3139 207A STREET,HousewithAcreage,1917,4,5,2399000,,2023-11-03 00:00:00,Royal LePage - Wolstencroft
167,7, R2830206,2620 270B STREET,House,5584,10,9,2298888,,2023-11-03 00:00:00,Nationwide Realty Corp.
168,8, R2830112,27188 28B AVENUE,House,2018,2,2,1450000,,2023-11-03 00:00:00,Royal LePage - Wolstencroft
169,9, R2830060,# 79 8217 204B STREET,House,2774,6,5,1288000,,2023-11-03 00:00:00,Emily Oh Realty
170,10, R2829888,3851 201 STREET,House,1902,4,2,1549999,,2023-11-03 00:00:00,Century 21 Coastal Realty Ltd.
171,11, R2829839,3625 202 STREET,House,2138,4,3,1489000,,2023-11-03 00:00:00,Sutton Group-West Coast Realty (Surrey/24)
172,12, R2829824,21616 18 AVENUE,House,2148,5,3,1299000,,2023-11-03 00:00:00,Royal LePage - Wolstencroft
173,13, R2824948,20966 95A AVENUE,House,1743,3,3,1298000,2023-10-17 00:00:00,2023-11-03 00:00:00,RE/MAX Treeland Realty
174,14, R2800540,5941 268 STREET,HousewithAcreage,2588,3,4,1999000,2023-07-21 00:00:00,2023-11-03 00:00:00,B.C. Farm & Ranch Realty Corp.
175,15, R2829753,4886 223B STREET,House,3050,4,4,1548000,,2023-11-02 00:00:00,One Percent Realty Ltd.
176,16, R2822069,3160 271 STREET,House,1750,4,2,1185000,2023-10-05 00:00:00,2023-11-02 00:00:00,Century 21 Coastal Realty Ltd.
177,17, R2826180,19640 76A AVENUE,House,2803,5,4,1635000,2023-10-19 00:00:00,2023-11-02 00:00:00,RE/MAX Dream Home Realty
178,18, R2829562,4692 208B STREET,House,2043,3,3,1299999,,2023-11-02 00:00:00,Century 21 Coastal Realty Ltd.
179,19, R2828435,7654 211B STREET,House,3439,5,5,1770000,,2023-11-01 00:00:00,Royal LePage Northstar Realty (S. Surrey)
180,0, R2828700,7813 211B STREET,FreeholdNonStrata,2352,4,4,1299900,,2023-11-01 00:00:00,RE/MAX Treeland Realty
181,1, R2829506,21513 85A COURT,House,2622,4,3,1585000,,2023-11-01 00:00:00,RE/MAX Treeland Realty
182,2, R2829340,19889 42A AVENUE,House,3046,5,4,2198000,,2023-11-01 00:00:00,Royal LePage - Wolstencroft
183,3, R2829324,19760 51 AVENUE,House,2000,3,3,1200000,,2023-11-01 00:00:00,Macdonald Realty (Surrey/152)
184,4, R2829063,20078 27A AVENUE,House,4086,7,6,2588888,,2023-11-01 00:00:00,eXp Realty (Branch)
185,5, R2829140,20058 74TH AVENUE,House,3671,7,4,1658880,,2023-11-01 00:00:00,Royal LePage Brent Roberts Realty
186,6, R2829281,4551 206 STREET,House,2633,5,3,1298000,,2023-11-01 00:00:00,Royal LePage - Wolstencroft
187,7, R2776616,# 214 5678 199 STREET,Townhouse,1802,2,2,1198000,2023-05-12 00:00:00,2023-11-01 00:00:00,Royal LePage - Wolstencroft
188,8, R2816288,9067 TRATTLE STREET,House,4496,4,4,2299999,2023-09-18 00:00:00,2023-11-01 00:00:00,Stonehaus Realty Corp.
189,9, R2827736,22070 46 AVENUE,House,2936,5,3,1648000,,2023-10-31 00:00:00,RE/MAX Treeland Realty
190,10, R2829187,3131 268 STREET,FreeholdStrata,2632,3,4,1198000,,2023-10-31 00:00:00,Zolo Realty
191,11, R2828948,20642 87 AVENUE,House,2504,5,4,1399000,,2023-10-31 00:00:00,Homelife Advantage Realty Ltd.
192,12, R2828401,6721 238 STREET,HousewithAcreage,2430,6,3,2199900,,2023-10-30 00:00:00,Century 21 Creekside Realty
193,13, R2828588,6922 197A STREET,House,3474,5,4,1798000,,2023-10-30 00:00:00,RE/MAX Treeland Realty
194,14, R2828163,4720 203 STREET,House,2187,4,3,1399000,,2023-10-27 00:00:00,Stonehaus Realty Corp.RE/MAX Colonial Pacific RealtyRE/MAX Colonial Pacific Realty
195,15, R2828169,22784 88 AVENUE,House,2727,4,3,2088000,,2023-10-27 00:00:00,Macdonald Realty (Langley)
196,16, R2828332,8351 203A STREET,House,3046,5,4,1818888,,2023-10-27 00:00:00,eXp Realty (Branch)
197,17, R2828106,20924 81 AVENUE,House,2593,6,4,1488000,,2023-10-26 00:00:00,RE/MAX City Realty
198,18, R2827899,4608 207A STREET,House,1467,3,2,1499000,,2023-10-26 00:00:00,Sutton Group-Alliance R.E.S.
199,19, R2827880,8243 202B STREET,House,2664,5,4,1449900,,2023-10-26 00:00:00,Oakwyn Realty Ltd. (Branch)
200,0, R2827874,# #39 24455 61 AVENUE,House,4390,4,5,2694000,,2023-10-26 00:00:00,Macdonald Realty (Surrey/152)
201,1, R2784892,21335 OLD YALE ROAD,House,3384,4,3,1500000,2023-06-06 00:00:00,2023-10-26 00:00:00,Royal LePage - Wolstencroft
202,2, R2823140,24555 44 AVENUE,HousewithAcreage,4068,5,5,2899900,2023-10-10 00:00:00,2023-10-25 00:00:00,RE/MAX Treeland Realty
203,3, R2801236,21137 40 AVENUE,HousewithAcreage,2860,4,2,2499000,2023-07-25 00:00:00,2023-10-25 00:00:00,Century 21 Supreme Realty Inc.
204,4, R2827617,22169 OLD YALE ROAD,House,5624,7,7,2898888,,2023-10-25 00:00:00,Nationwide Realty Corp.
